rel_path,mean_db,max_db,median_db,peak_to_mean
Vietnamese\long vowels-#TV\tαː男.mp3,-32.47,-11.56,-21.60,20.92
Vietnamese\long vowels-#VT\an̪(北).mp3,-42.13,-22.81,-35.60,19.31
Vietnamese\long vowels-#VT\an̪(南).mp3,-50.30,-22.91,-50.38,27.39
Vietnamese\long vowels-#VT\ek̪(北).mp3,-52.23,-20.75,-58.58,31.48
Vietnamese\long vowels-#VT\ek̪(南).mp3,-39.56,-17.85,-38.58,21.71
Vietnamese\long vowels-#VT\em(北).mp3,-51.70,-24.19,-45.54,27.51
Vietnamese\long vowels-#VT\em(南).mp3,-40.93,-17.09,-32.29,23.84
Vietnamese\long vowels-#VT\en(北).mp3,-43.82,-24.29,-32.43,19.54
Vietnamese\long vowels-#VT\en(南).mp3,-45.41,-17.20,-48.41,28.21
Vietnamese\long vowels-#VT\en̪(北).mp3,-37.99,-18.34,-32.08,19.66
Vietnamese\long vowels-#VT\en̪(南).mp3,-34.93,-16.11,-32.37,18.83
Vietnamese\long vowels-#VT\ep(北).mp3,-38.59,-23.83,-31.76,14.77
Vietnamese\long vowels-#VT\ep(南).mp3,-45.41,-17.20,-48.41,28.21
Vietnamese\long vowels-#VT\et(北).mp3,-37.74,-22.43,-28.84,15.31
Vietnamese\long vowels-#VT\et(南).mp3,-38.16,-17.24,-42.08,20.92
Vietnamese\long vowels-#VT\iːk(南).mp3,-39.82,-21.73,-42.39,18.09
Vietnamese\long vowels-#VT\iːk̪(北).mp3,-60.82,-19.12,-61.78,41.70
Vietnamese\long vowels-#VT\iːm(北).mp3,-45.43,-25.54,-40.42,19.90
Vietnamese\long vowels-#VT\iːm(南).mp3,-39.27,-26.89,-32.64,12.39
Vietnamese\long vowels-#VT\iːn(北).mp3,-39.04,-26.22,-32.70,12.82
Vietnamese\long vowels-#VT\iːn(南).mp3,-47.46,-29.91,-34.56,17.55
Vietnamese\long vowels-#VT\iːn̪(北).mp3,-39.54,-22.24,-30.17,17.30
Vietnamese\long vowels-#VT\iːn̪(南).mp3,-34.95,-26.25,-32.66,8.69
Vietnamese\long vowels-#VT\iːp(北).mp3,-39.04,-26.22,-32.70,12.82
Vietnamese\long vowels-#VT\iːp(南).mp3,-52.70,-30.47,-51.20,22.23
Vietnamese\long vowels-#VT\iːt(北).mp3,-37.35,-25.91,-31.78,11.44
Vietnamese\long vowels-#VT\iːt(南).mp3,-41.92,-32.41,-43.46,9.51
Vietnamese\long vowels-#VT\ok(北).mp3,-42.00,-19.31,-41.69,22.69
Vietnamese\long vowels-#VT\ok(南).mp3,-42.63,-21.59,-43.41,21.05
Vietnamese\long vowels-#VT\om(北).mp3,-39.10,-20.80,-33.98,18.29
Vietnamese\long vowels-#VT\om(南).mp3,-38.89,-16.27,-31.75,22.62
Vietnamese\long vowels-#VT\on(北).mp3,-38.61,-20.57,-32.53,18.05
Vietnamese\long vowels-#VT\on(南).mp3,-36.31,-16.81,-26.56,19.50
Vietnamese\long vowels-#VT\op(北).mp3,-43.56,-20.96,-45.46,22.60
Vietnamese\long vowels-#VT\op(南).mp3,-42.53,-16.49,-39.92,26.04
Vietnamese\long vowels-#VT\ot(北).mp3,-39.52,-21.36,-34.04,18.16
Vietnamese\long vowels-#VT\ot(南).mp3,-31.60,-13.22,-28.32,18.38
Vietnamese\long vowels-#VT\oŋ(北).mp3,-41.92,-19.84,-35.53,22.08
Vietnamese\long vowels-#VT\oŋ(南).mp3,-41.91,-18.59,-31.15,23.32
Vietnamese\long vowels-#VT\uk(南).mp3,-45.83,-24.28,-48.43,21.55
Vietnamese\long vowels-#VT\um(北).mp3,-40.43,-23.62,-32.09,16.80
Vietnamese\long vowels-#VT\um(南).mp3,-35.41,-24.57,-30.97,10.84
Vietnamese\long vowels-#VT\un(北).mp3,-37.92,-23.27,-31.95,14.65
Vietnamese\long vowels-#VT\un(南).mp3,-47.37,-20.05,-31.79,27.33
Vietnamese\long vowels-#VT\untitled.mp3,-44.03,-19.33,-39.86,24.70
Vietnamese\long vowels-#VT\up(北).mp3,-38.94,-21.75,-32.03,17.19
Vietnamese\long vowels-#VT\up(南).mp3,-39.50,-26.62,-37.79,12.88
Vietnamese\long vowels-#VT\ut(北).mp3,-41.75,-22.55,-39.93,19.19
Vietnamese\long vowels-#VT\ut(南).mp3,-38.40,-21.26,-37.17,17.14
Vietnamese\long vowels-#VT\uŋ(南).mp3,-40.44,-22.47,-32.13,17.97
Vietnamese\long vowels-#VT\ɔk(北).mp3,-40.77,-15.34,-48.93,25.44
Vietnamese\long vowels-#VT\ɔk(南).mp3,-37.47,-16.89,-37.15,20.58
Vietnamese\long vowels-#VT\ɔm(北).mp3,-43.70,-16.62,-38.29,27.08
Vietnamese\long vowels-#VT\ɔm(南).mp3,-43.16,-18.40,-33.70,24.76
Vietnamese\long vowels-#VT\ɔn(北).mp3,-44.12,-19.05,-40.14,25.07
Vietnamese\long vowels-#VT\ɔn(南).mp3,-44.41,-20.53,-33.04,23.88
Vietnamese\long vowels-#VT\ɔp(北).mp3,-49.07,-17.23,-54.94,31.84
Vietnamese\long vowels-#VT\ɔp(南).mp3,-39.45,-15.55,-37.68,23.90
Vietnamese\long vowels-#VT\ɔt(北).mp3,-38.97,-19.13,-30.68,19.84
